23:46:35.462 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: snapshots-in-memory
23:46:35.462 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: proxied-releases
23:46:35.462 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases
23:46:35.462 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-with-options
23:46:35.462 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-without-options
23:46:35.462 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-nested
23:46:35.462 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-nested-deep-1
23:46:35.462 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-nested-deep-2
23:46:35.463 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-nested-deep-3
23:46:35.471 05-05-2016 | INFO  | main                 | o.c.s.services.impl.ArtifactResolutionServiceImpl  | Loading resolvers...
23:46:35.471 05-05-2016 | INFO  | main                 | o.c.s.services.impl.ArtifactResolutionServiceImpl  |  -> class org.carlspring.strongbox.storage.resolvers.FSLocationResolver
23:46:35.471 05-05-2016 | INFO  | main                 | o.c.s.services.impl.ArtifactResolutionServiceImpl  |  -> class org.carlspring.strongbox.storage.resolvers.GroupLocationResolver
23:46:35.483 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for com.artifacts.to.delete.releases:delete-foo:1.2.1:jar...
23:46:35.515 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for com.artifacts.to.delete.releases:delete-foo:1.2.2:jar...
23:46:35.548 05-05-2016 | DEBUG | main                 | o.c.strongbox.storage.resolvers.FSLocationResolver | Checking in storage0:releases(/Users/ivanursul/git/strongbox/strongbox-storage/strongbox-storage-api/target/strongbox-vault/storages/storage0/releases/com/artifacts/to/delete/releases/delete-foo/1.2.1/delete-foo-1.2.1.jar)...
23:46:35.548 05-05-2016 | DEBUG | main                 | o.c.strongbox.storage.resolvers.FSLocationResolver | Deleted /releases/com/artifacts/to/delete/releases/delete-foo/1.2.1/delete-foo-1.2.1.jar.md5.
23:46:35.548 05-05-2016 | DEBUG | main                 | o.c.strongbox.storage.resolvers.FSLocationResolver | Deleted /releases/com/artifacts/to/delete/releases/delete-foo/1.2.1/delete-foo-1.2.1.jar.sha1.
23:46:35.548 05-05-2016 | DEBUG | main                 | o.c.strongbox.storage.resolvers.FSLocationResolver | Removed /releases/com/artifacts/to/delete/releases/delete-foo/1.2.1/delete-foo-1.2.1.jar
23:46:35.550 05-05-2016 | DEBUG | main                 | o.c.strongbox.storage.resolvers.FSLocationResolver | Checking in storage0:releases(/Users/ivanursul/git/strongbox/strongbox-storage/strongbox-storage-api/target/strongbox-vault/storages/storage0/releases/com/artifacts/to/delete/releases/delete-foo/1.2.2)...
23:46:35.552 05-05-2016 | DEBUG | main                 | o.c.strongbox.storage.resolvers.FSLocationResolver | Removed /releases/com/artifacts/to/delete/releases/delete-foo/1.2.2
23:46:35.637 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   | Initilizing ConfigurationManager
23:46:35.638 05-05-2016 | INFO  | main                 | o.c.s.resource.ConfigurationResourceResolver       | Loading configuration from class path resource [etc/conf/strongbox.xml]...
23:46:35.638 05-05-2016 | INFO  | main                 | o.c.s.configuration.AbstractConfigurationManager   | Loading Strongbox configuration from class path resource [etc/conf/strongbox.xml]...
23:46:35.653 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   | Configuration version: 1.0
23:46:35.653 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   | Loading storages...
23:46:35.653 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |  -> Storage: storage0
23:46:35.653 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-by-juan
23:46:35.654 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases
23:46:35.654 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-in-memory
23:46:35.654 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-with-redeployment
23:46:35.654 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-with-trash
23:46:35.654 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-without-deployment
23:46:35.654 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-without-redeployment
23:46:35.654 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-without-delete
23:46:35.654 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-without-delete-trash
23:46:35.655 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-without-browsing
23:46:35.655 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: snapshots
23:46:35.655 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: snapshots-in-memory
23:46:35.655 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: proxied-releases
23:46:35.655 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases
23:46:35.655 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-with-options
23:46:35.655 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-without-options
23:46:35.655 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-nested
23:46:35.655 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-nested-deep-1
23:46:35.656 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-nested-deep-2
23:46:35.656 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-nested-deep-3
23:46:35.666 05-05-2016 | INFO  | main                 | o.c.s.services.impl.ArtifactResolutionServiceImpl  | Loading resolvers...
23:46:35.666 05-05-2016 | INFO  | main                 | o.c.s.services.impl.ArtifactResolutionServiceImpl  |  -> class org.carlspring.strongbox.storage.resolvers.FSLocationResolver
23:46:35.666 05-05-2016 | INFO  | main                 | o.c.s.services.impl.ArtifactResolutionServiceImpl  |  -> class org.carlspring.strongbox.storage.resolvers.GroupLocationResolver
23:46:35.677 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for com.artifacts.in.releases.with.trash:foo:1.2.3:jar...
23:46:35.711 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for com.artifacts.in.releases:foo:1.2.4:jar...
23:46:35.723 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for com.artifacts.denied.in.memory:foo:1.2.5:jar...
23:46:35.753 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for com.artifacts.denied.by.wildcard:foo:1.2.6:jar...
23:46:35.797 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.metadata.by.juan:juancho:1.2.64:jar...
23:46:35.802 05-05-2016 | DEBUG | main                 | o.c.s.storage.resolvers.GroupLocationResolver      | Checking in storage0:group-releases-nested-deep-1...
23:46:35.802 05-05-2016 | DEBUG | main                 | o.c.s.storage.resolvers.GroupLocationResolver      | Checking in storage0:group-releases-nested-deep-2...
23:46:35.802 05-05-2016 | DEBUG | main                 | o.c.s.storage.resolvers.GroupLocationResolver      | Checking in storage0:group-releases-nested-deep-3...
23:46:35.803 05-05-2016 | DEBUG | main                 | o.c.s.storage.resolvers.GroupLocationResolver      |  -> Checking for /Users/ivanursul/git/strongbox/strongbox-storage/strongbox-storage-api/target/strongbox-vault/storages/storage0/releases-by-juan/org/carlspring/metadata/by/juan/juancho/1.2.64/juancho-1.2.64.jar...
23:46:35.803 05-05-2016 | DEBUG | main                 | o.c.s.storage.resolvers.GroupLocationResolver      | Resolved /Users/ivanursul/git/strongbox/strongbox-storage/strongbox-storage-api/target/strongbox-vault/storages/storage0/releases-by-juan/org/carlspring/metadata/by/juan/juancho/1.2.64/juancho-1.2.64.jar!
23:46:35.803 05-05-2016 | DEBUG | main                 | o.c.s.storage.resolvers.GroupLocationResolver      | Located artifact: [storage0:releases-by-juan]
23:46:35.803 05-05-2016 | DEBUG | main                 | o.c.s.storage.resolvers.GroupLocationResolver      | Located artifact: [storage0:group-releases-nested-deep-3]
23:46:35.803 05-05-2016 | DEBUG | main                 | o.c.s.storage.resolvers.GroupLocationResolver      | Located artifact: [storage0:group-releases-nested-deep-2]
23:46:35.804 05-05-2016 | DEBUG | main                 | o.c.s.storage.resolvers.GroupLocationResolver      | Checking in storage0:group-releases...
23:46:35.804 05-05-2016 | DEBUG | main                 | o.c.s.storage.resolvers.GroupLocationResolver      |  -> Checking for /Users/ivanursul/git/strongbox/strongbox-storage/strongbox-storage-api/target/strongbox-vault/storages/storage0/releases/com/artifacts/in/releases/foo/1.2.4/foo-1.2.4.jar...
23:46:35.804 05-05-2016 | DEBUG | main                 | o.c.s.storage.resolvers.GroupLocationResolver      | Resolved /Users/ivanursul/git/strongbox/strongbox-storage/strongbox-storage-api/target/strongbox-vault/storages/storage0/releases/com/artifacts/in/releases/foo/1.2.4/foo-1.2.4.jar!
23:46:35.805 05-05-2016 | DEBUG | main                 | o.c.s.storage.resolvers.GroupLocationResolver      | Located artifact: [storage0:releases]
23:46:35.805 05-05-2016 | DEBUG | main                 | o.c.s.storage.resolvers.GroupLocationResolver      | Checking in storage0:group-releases...
23:46:35.806 05-05-2016 | DEBUG | main                 | o.c.s.storage.resolvers.GroupLocationResolver      |  -> Checking for /Users/ivanursul/git/strongbox/strongbox-storage/strongbox-storage-api/target/strongbox-vault/storages/storage0/releases-with-trash/com/artifacts/in/releases/with/trash/foo/1.2.3/foo-1.2.3.jar...
23:46:35.806 05-05-2016 | DEBUG | main                 | o.c.s.storage.resolvers.GroupLocationResolver      | Resolved /Users/ivanursul/git/strongbox/strongbox-storage/strongbox-storage-api/target/strongbox-vault/storages/storage0/releases-with-trash/com/artifacts/in/releases/with/trash/foo/1.2.3/foo-1.2.3.jar!
23:46:35.806 05-05-2016 | DEBUG | main                 | o.c.s.storage.resolvers.GroupLocationResolver      | Located artifact: [storage0:releases-with-trash]
23:46:35.806 05-05-2016 | DEBUG | main                 | o.c.s.storage.resolvers.GroupLocationResolver      | Checking in storage0:group-releases...
23:46:35.807 05-05-2016 | DEBUG | main                 | o.c.s.storage.resolvers.GroupLocationResolver      |  -> Checking for /Users/ivanursul/git/strongbox/strongbox-storage/strongbox-storage-api/target/strongbox-vault/storages/storage0/releases-in-memory/com/artifacts/in/releases/foo/1.2.4/foo-1.2.4.jar...
23:46:35.807 05-05-2016 | DEBUG | main                 | o.c.s.storage.resolvers.GroupLocationResolver      |  -> Checking for /Users/ivanursul/git/strongbox/strongbox-storage/strongbox-storage-api/target/strongbox-vault/storages/storage0/releases-with-redeployment/com/artifacts/in/releases/foo/1.2.4/foo-1.2.4.jar...
23:46:35.807 05-05-2016 | DEBUG | main                 | o.c.s.storage.resolvers.GroupLocationResolver      |  -> Checking for /Users/ivanursul/git/strongbox/strongbox-storage/strongbox-storage-api/target/strongbox-vault/storages/storage0/releases-with-trash/com/artifacts/in/releases/foo/1.2.4/foo-1.2.4.jar...
23:46:35.808 05-05-2016 | DEBUG | main                 | o.c.s.storage.resolvers.GroupLocationResolver      |  -> Checking for /Users/ivanursul/git/strongbox/strongbox-storage/strongbox-storage-api/target/strongbox-vault/storages/storage0/releases-without-deployment/com/artifacts/in/releases/foo/1.2.4/foo-1.2.4.jar...
23:46:35.808 05-05-2016 | DEBUG | main                 | o.c.s.storage.resolvers.GroupLocationResolver      |  -> Checking for /Users/ivanursul/git/strongbox/strongbox-storage/strongbox-storage-api/target/strongbox-vault/storages/storage0/releases-without-redeployment/com/artifacts/in/releases/foo/1.2.4/foo-1.2.4.jar...
23:46:35.808 05-05-2016 | DEBUG | main                 | o.c.s.storage.resolvers.GroupLocationResolver      |  -> Checking for /Users/ivanursul/git/strongbox/strongbox-storage/strongbox-storage-api/target/strongbox-vault/storages/storage0/releases-without-delete/com/artifacts/in/releases/foo/1.2.4/foo-1.2.4.jar...
23:46:35.808 05-05-2016 | DEBUG | main                 | o.c.s.storage.resolvers.GroupLocationResolver      |  -> Checking for /Users/ivanursul/git/strongbox/strongbox-storage/strongbox-storage-api/target/strongbox-vault/storages/storage0/releases-without-delete-trash/com/artifacts/in/releases/foo/1.2.4/foo-1.2.4.jar...
23:46:35.809 05-05-2016 | DEBUG | main                 | o.c.s.storage.resolvers.GroupLocationResolver      |  -> Checking for /Users/ivanursul/git/strongbox/strongbox-storage/strongbox-storage-api/target/strongbox-vault/storages/storage0/releases-without-browsing/com/artifacts/in/releases/foo/1.2.4/foo-1.2.4.jar...
23:46:35.809 05-05-2016 | DEBUG | main                 | o.c.s.storage.resolvers.GroupLocationResolver      | Checking in storage0:group-releases-nested...
